ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs
L12033,StorageSetup,com.thinkaurelius.titan.StorageSetup,L106,L103,src\test\java\com\thinkaurelius\titan\StorageSetup.java,15,1,119,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,19,3,44,49,1,16,0.0625,0.0229885,2,1,1,15,0.0229885,2,0,0,0,0,0,85,105,1,14,1,14,15,1,15,0,15,46,1,15,0,85,105,1,14,1,14,15,1,15,0,15,46,1,15,0,0,0,39,1,8,0,1,6,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
L12040,TestBed,com.thinkaurelius.titan.TestBed,L106,L103,src\test\java\com\thinkaurelius\titan\TestBed.java,15,1,79,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,7,2,0,0,2,5,0.333333,0.106383,5,4,1,2,0.0925926,5,0,0,0,0,0,42,58,0,0,0,0,3,0,2,0,3,39,0,2,0,49,65,0,0,0,0,4,0,3,0,4,42,0,3,0,0,0,15,3,10,0,0,2,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L12239,TitanBenchmark,com.thinkaurelius.titan.TitanBenchmark,L106,L103,src\test\java\com\thinkaurelius\titan\TitanBenchmark.java,21,1,105,2,0.0,0,0,0,0.0,0.0,0,0,1,6,6,8,6,0,0,14,15,0.5,0.04,3,3,1,1,0.04,3,0,0,0,0,0,72,85,0,0,0,0,1,0,1,0,1,65,0,1,0,72,85,0,0,0,0,1,0,1,0,1,65,0,1,0,0,0,11,4,13,0,0,6,0,0,0,0,0,4,0,1,0,1,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
L12257,TitanTestBed,com.thinkaurelius.titan.TitanTestBed,L106,L103,src\test\java\com\thinkaurelius\titan\TitanTestBed.java,14,1,37,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,2,3,0.5,0.294118,5,3,1,1,0.294118,5,0,0,0,0,0,12,24,0,0,0,0,1,0,1,0,1,8,0,1,0,12,24,0,0,0,0,1,0,1,0,1,8,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L193,InvalidElementException,com.thinkaurelius.titan.core.InvalidElementException,L117,L103,src\main\java\com\thinkaurelius\titan\core\InvalidElementException.java,11,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,10,11,1,4,0.75,0.5625,18,18,3,1,0.5625,18,1,1,0,0,1,14,29,2,1,1,1,3,0,3,0,8,4,0,8,0,14,29,2,1,1,1,3,0,3,0,8,4,0,8,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L219,QueryException,com.thinkaurelius.titan.core.QueryException,L117,L103,src\main\java\com\thinkaurelius\titan\core\QueryException.java,9,1,39,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,3,5,2,5,1.0,0.625,20,20,4,0,0.625,20,1,1,0,0,1,12,31,2,0,1,0,3,0,3,0,8,3,0,8,0,12,31,2,0,1,0,3,0,3,0,8,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L241,TitanConfigurationException,com.thinkaurelius.titan.core.TitanConfigurationException,L117,L103,src\main\java\com\thinkaurelius\titan\core\TitanConfigurationException.java,10,1,40,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,1,1,2,5,1.0,0.625,20,20,4,0,0.625,20,1,1,0,0,1,12,31,2,0,1,0,3,0,3,0,8,3,0,8,0,12,31,2,0,1,0,3,0,3,0,8,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L195,TitanException,com.thinkaurelius.titan.core.TitanException,L117,L103,src\main\java\com\thinkaurelius\titan\core\TitanException.java,13,1,58,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,5,1,14,20,1,6,0.833333,0.590909,26,26,5,1,0.590909,26,0,0,3,3,0,18,46,1,0,1,0,5,0,5,0,5,5,0,5,0,18,46,1,0,1,0,5,0,5,0,5,5,0,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L321,TitanFactory,com.thinkaurelius.titan.core.TitanFactory,L117,L103,src\main\java\com\thinkaurelius\titan\core\TitanFactory.java,17,1,63,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,4,10,10,3,6,1.0,0.729167,35,35,4,0,0.729167,35,0,0,0,0,0,13,47,0,0,0,0,3,0,3,0,3,5,0,3,0,13,47,0,0,0,0,3,0,3,0,3,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L419,TypeGroup,com.thinkaurelius.titan.core.TypeGroup,L117,L103,src\main\java\com\thinkaurelius\titan\core\TypeGroup.java,25,1,72,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,32,12,1,6,1.0,0.741379,43,43,5,0,0.741379,43,0,0,1,1,0,15,48,2,3,2,3,5,1,4,0,5,4,1,4,0,15,48,2,3,2,3,5,1,4,0,5,4,1,4,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
